,????????????,????????,??????,?????
,??????????? ?????????? ?????????,,https://docs.google.com/document/d/1GSDA8L03VQ83_jbRN6gPv2QtjNrIWvX3UYbRrBIRQkQ/edit?usp=drive_link,"???????, ????????"
,???????? ????? ?? ??????? ?? ???????????,,https://docs.google.com/spreadsheets/d/1edkjH38zRhWnkovDImu__v5kJy-Fnrp6CVQhjxVc5wQ/edit?usp=sharing,"??, ????????"
??? ,,,,
1,???-???? ?????????,,https://docs.google.com/spreadsheets/d/1WzFPsrsXIa3BewZOo2rC3vcCsjOSfzvaV099yBahM8c/edit?usp=drive_link,"???????, ????????"
2,???-???? ????????,,https://docs.google.com/spreadsheets/d/1w0xAzC20YSUPAmxYTezAIG0764uXMXOfMH1yqUPT1BA/edit?usp=drive_link,"???????, ????????"
3,???-???? ???????,,https://docs.google.com/spreadsheets/d/187eTXnt3i17vnnMeSX9KQHi5_qPuL7lQqGUehyfupds/edit?usp=drive_link,"???????, ????????"
4,???-???? ??????? ?????????,,https://docs.google.com/spreadsheets/d/1b_T5uST433dJGXnIlS4WNbIU0IDj1RymECZ8uMvITNk/edit?usp=drive_link,???????
5,???-???? ??????? ????????,,https://docs.google.com/spreadsheets/d/1_0EDx54ziO4mW6jSKtyspux92t7OG5v6tc1kykc98bE/edit?usp=drive_link,???????
6,???-???? ??????? ???????,,https://docs.google.com/spreadsheets/d/1J3kZ33YrBxXKW6WI2r6kl8kw51UHGTL3eKwJf3_Ri8s/edit?usp=drive_link,???????
7,??????? ?????????,,https://docs.google.com/spreadsheets/d/1J5BXZjLnAF3amAw02xH4MTYN5bPg9IwqOwnxqWBDJR4/edit?usp=drive_link,"???????, ????????"
8,???????????: ???????,,https://docs.google.com/spreadsheets/d/1xcbVugDZoUMrrDHQb_Dycbiq6mMBFvOiFPQV-uZo1Og/edit?usp=drive_link,???????
9,???? ?????????,,https://docs.google.com/spreadsheets/d/1s3PgusaFjJftN8oKpxiDUQewqcV-NzwiRzboFyK-0GA/edit?usp=drive_link,???????
10,????????? ?? ?????? ? ??????,,https://docs.google.com/document/d/1lXSob-TnKhsFm6Onbmh4oTKSkqVdXrpCGsPhuNG11YQ/edit?usp=drive_link,???????
11,?????? ?????,,https://docs.google.com/spreadsheets/d/11BLOsP9Se5i-gNw5nrTkDPiikcRlGu3DYvsx6aqLzgo/edit?usp=drive_link,"???????, ????????"
,,,,
?????,,,,
1,??????????? ????? (??),,https://docs.google.com/spreadsheets/d/1Ai4qUIXpkc1fJ_Cd5Vh-wgPV9a-blOhtQWV_tyqhFTU/edit?usp=drive_link,"??????, ????????"
2,??????????????? ????? / ??????? ???????????? ??????? ,,https://docs.google.com/document/d/1OkA3Ql2FoKcWu1QCdGPnNczCRou9L3QteJF0jytjuBg/edit?usp=sharing,"??????, ????????"
3,??????????? ???????? ?????????????? ?????????,,https://docs.google.com/spreadsheets/d/1iHcpofQz8WjyPnYlAZOl6RKrh4MQze1T20d3npXMdJg/edit?usp=drive_link,"??????, ????????"
4,?????? ????????? / ????,,https://docs.google.com/spreadsheets/d/1JLmJ7KuSdj2reJlasvtFQekKrPb8-7yKZkPUEOMWFvE/edit?usp=drive_link,"??????, ????????"
,,,,
???? ? ???????????,,,,
1,?????? ?????? ???????????,,https://docs.google.com/spreadsheets/d/1QrL48GAzpVABqwwSO5z80PNZNk2cVKXLwDYwEGXz5sM/edit?usp=drive_link,"????????, ?????????"
2,?????? ??????,,https://docs.google.com/spreadsheets/d/1-MMMX8UrxvrRhwDwkN5K94bdf95YG1bAEtGQ9kwvV6I/edit?usp=drive_link,??
3,????? ?? ??????????????,,https://docs.google.com/spreadsheets/d/1OhCnZGMgDEx-ghU-F-0VCP3xloGQO37mrzlJ1SnsbIU/edit?usp=drive_link,??
4,?????? ????? ?? ????????,,https://docs.google.com/spreadsheets/d/1sqrYyqSENH83Q-O9BWtUUAYpAWa63JHyvpp2NZuGUIg/edit?usp=drive_link,"??, ????????"
????????????,,,,
1,???????????? ?? ?????? ??????????? ?????????? ?????????,,https://docs.google.com/forms/d/1n6XW4OjYAhDJOFwaH463ToYLokX5438ucvBbVWBfKXk/edit,"???????, ????????"
2,?????? ???????????? ?? ?????? ??????????? ?????????? ?????????,,https://docs.google.com/spreadsheets/d/1ebAx2jvt0B7KHJhJBEJ_NUcXjgWxt3muChV7xitxhmk/edit?usp=drive_link,??
